record_id,edition,indicator_id,category,geo_level,region_id,region_name,sex,age_group,estimate,ci_low,ci_high,weighted_n,weighted_n_role,weighted_denominator_n,se,cv,precision_note,source_table,source_page,source_region_label,source_url,validation_status,se_band,design_df,variance_source,variance_note,ci_method,weighted_denominator_n_role
alcohol-ever:2016-2017:0:12-17:total,2016-2017,alc_alguna_vez,Consumo alguna vez en la vida,nacional,0,Nacional,total,12-17,39.8,38.3,41.3,5708288,Población estimada de la categoría: consumió alcohol alguna vez,14335079.1,0.7643,1.92,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.6,54,Nacional,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=54,verified_source_and_weighted_point_estimate,"[0.7308, 0.7915]",No disponible,reconstructed_from_published_ci,"El archivo individual 2016-2017 solo trae el ponderador ponde_ss: sin estrato ni UPM no existe varianza por diseño para esta edición. El SE se reconstruye invirtiendo el IC publicado bajo el método logit-t identificado, con banda que propaga el redondeo y los grados de libertad.",logit-t publicado; SE reconstruido por inversión,"Población estimada del universo analítico: personas de 12 a 17 años en el ámbito, suma de ponderadores del microdato de la propia edición."
alcohol-ever:2025:0:12-17:total,2025,alc_alguna_vez,Consumo alguna vez en la vida,nacional,0,Nacional,total,12-17,33.9,31.4,36.4,4471010,Población estimada de la categoría: consumió alcohol alguna vez,13205179.5,1.2926,3.818,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.6,54,Nacional,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=54,verified_source_and_weighted_point_estimate,No disponible,706,design,"Varianza por diseño calculada sobre el microdato 2025: ponderador ponde_f, estrato de varianza est_sel, UPM mi_upm, linealización de Taylor con conglomerado último.","logit-t, reproducido desde el microdato (desviacion maxima 0.049 pp en 30 celdas)","Población estimada del universo analítico: personas de 12 a 17 años en el ámbito, suma de ponderadores del microdato de la propia edición."
alcohol-ever:2016-2017:1:12-17:total,2016-2017,alc_alguna_vez,Consumo alguna vez en la vida,region,1,Península Norte,total,12-17,30.3,26.4,34.6,241478,Población estimada de la categoría: consumió alcohol alguna vez,796299.4,2.0901,6.898,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.6,54,Península Norte,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=54,verified_source_and_weighted_point_estimate,"[2.041, 2.1214]",No disponible,reconstructed_from_published_ci,"El archivo individual 2016-2017 solo trae el ponderador ponde_ss: sin estrato ni UPM no existe varianza por diseño para esta edición. El SE se reconstruye invirtiendo el IC publicado bajo el método logit-t identificado, con banda que propaga el redondeo y los grados de libertad.",logit-t publicado; SE reconstruido por inversión,"Población estimada del universo analítico: personas de 12 a 17 años en el ámbito, suma de ponderadores del microdato de la propia edición."
alcohol-ever:2025:1:12-17:total,2025,alc_alguna_vez,Consumo alguna vez en la vida,region,1,Península Norte,total,12-17,30.4,25.5,35.7,238542,Población estimada de la categoría: consumió alcohol alguna vez,785772.0,2.6059,8.584,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.6,54,Península Norte,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=54,verified_source_and_weighted_point_estimate,No disponible,706,design,"Varianza por diseño calculada sobre el microdato 2025: ponderador ponde_f, estrato de varianza est_sel, UPM mi_upm, linealización de Taylor con conglomerado último.","logit-t, reproducido desde el microdato (desviacion maxima 0.049 pp en 30 celdas)","Población estimada del universo analítico: personas de 12 a 17 años en el ámbito, suma de ponderadores del microdato de la propia edición."
alcohol-ever:2016-2017:2:12-17:total,2016-2017,alc_alguna_vez,Consumo alguna vez en la vida,region,2,Noroccidental,total,12-17,36.6,33.2,40.2,366564,Población estimada de la categoría: consumió alcohol alguna vez,1000934.2,1.7847,4.876,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.6,54,Noroccidental,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=54,verified_source_and_weighted_point_estimate,"[1.7398, 1.8145]",No disponible,reconstructed_from_published_ci,"El archivo individual 2016-2017 solo trae el ponderador ponde_ss: sin estrato ni UPM no existe varianza por diseño para esta edición. El SE se reconstruye invirtiendo el IC publicado bajo el método logit-t identificado, con banda que propaga el redondeo y los grados de libertad.",logit-t publicado; SE reconstruido por inversión,"Población estimada del universo analítico: personas de 12 a 17 años en el ámbito, suma de ponderadores del microdato de la propia edición."
alcohol-ever:2025:2:12-17:total,2025,alc_alguna_vez,Consumo alguna vez en la vida,region,2,Noroccidental,total,12-17,33.4,28.7,38.5,206492,Población estimada de la categoría: consumió alcohol alguna vez,617554.9,2.4939,7.458,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.6,54,Noroccidental,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=54,verified_source_and_weighted_point_estimate,No disponible,706,design,"Varianza por diseño calculada sobre el microdato 2025: ponderador ponde_f, estrato de varianza est_sel, UPM mi_upm, linealización de Taylor con conglomerado último.","logit-t, reproducido desde el microdato (desviacion maxima 0.049 pp en 30 celdas)","Población estimada del universo analítico: personas de 12 a 17 años en el ámbito, suma de ponderadores del microdato de la propia edición."
alcohol-ever:2016-2017:3:12-17:total,2016-2017,alc_alguna_vez,Consumo alguna vez en la vida,region,3,Norcentral,total,12-17,34.0,30.0,38.2,308737,Población estimada de la categoría: consumió alcohol alguna vez,908413.3,2.0929,6.156,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.6,54,Norcentral,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=54,verified_source_and_weighted_point_estimate,"[2.0442, 2.1238]",No disponible,reconstructed_from_published_ci,"El archivo individual 2016-2017 solo trae el ponderador ponde_ss: sin estrato ni UPM no existe varianza por diseño para esta edición. El SE se reconstruye invirtiendo el IC publicado bajo el método logit-t identificado, con banda que propaga el redondeo y los grados de libertad.",logit-t publicado; SE reconstruido por inversión,"Población estimada del universo analítico: personas de 12 a 17 años en el ámbito, suma de ponderadores del microdato de la propia edición."
alcohol-ever:2025:3:12-17:total,2025,alc_alguna_vez,Consumo alguna vez en la vida,region,3,Norcentral,total,12-17,20.2,15.8,25.5,182005,Población estimada de la categoría: consumió alcohol alguna vez,900444.7,2.453,12.136,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.6,54,Norcentral,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=54,verified_source_and_weighted_point_estimate,No disponible,706,design,"Varianza por diseño calculada sobre el microdato 2025: ponderador ponde_f, estrato de varianza est_sel, UPM mi_upm, linealización de Taylor con conglomerado último.","logit-t, reproducido desde el microdato (desviacion maxima 0.049 pp en 30 celdas)","Población estimada del universo analítico: personas de 12 a 17 años en el ámbito, suma de ponderadores del microdato de la propia edición."
alcohol-ever:2016-2017:4:12-17:total,2016-2017,alc_alguna_vez,Consumo alguna vez en la vida,region,4,Nororiental,total,12-17,33.3,28.9,38.1,245867,Población estimada de la categoría: consumió alcohol alguna vez,737267.5,2.3471,7.048,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.6,54,Nororiental,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=54,verified_source_and_weighted_point_estimate,"[2.2955, 2.3787]",No disponible,reconstructed_from_published_ci,"El archivo individual 2016-2017 solo trae el ponderador ponde_ss: sin estrato ni UPM no existe varianza por diseño para esta edición. El SE se reconstruye invirtiendo el IC publicado bajo el método logit-t identificado, con banda que propaga el redondeo y los grados de libertad.",logit-t publicado; SE reconstruido por inversión,"Población estimada del universo analítico: personas de 12 a 17 años en el ámbito, suma de ponderadores del microdato de la propia edición."
alcohol-ever:2025:4:12-17:total,2025,alc_alguna_vez,Consumo alguna vez en la vida,region,4,Nororiental,total,12-17,31.3,26.5,36.6,218477,Población estimada de la categoría: consumió alcohol alguna vez,697818.0,2.5872,8.263,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.6,54,Nororiental,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=54,verified_source_and_weighted_point_estimate,No disponible,706,design,"Varianza por diseño calculada sobre el microdato 2025: ponderador ponde_f, estrato de varianza est_sel, UPM mi_upm, linealización de Taylor con conglomerado último.","logit-t, reproducido desde el microdato (desviacion maxima 0.049 pp en 30 celdas)","Población estimada del universo analítico: personas de 12 a 17 años en el ámbito, suma de ponderadores del microdato de la propia edición."
alcohol-ever:2016-2017:5:12-17:total,2016-2017,alc_alguna_vez,Consumo alguna vez en la vida,region,5,Occidental,total,12-17,53.0,48.2,57.7,806061,Población estimada de la categoría: consumió alcohol alguna vez,1521605.9,2.4265,4.578,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.6,54,Occidental,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=54,verified_source_and_weighted_point_estimate,"[2.3756, 2.4567]",No disponible,reconstructed_from_published_ci,"El archivo individual 2016-2017 solo trae el ponderador ponde_ss: sin estrato ni UPM no existe varianza por diseño para esta edición. El SE se reconstruye invirtiendo el IC publicado bajo el método logit-t identificado, con banda que propaga el redondeo y los grados de libertad.",logit-t publicado; SE reconstruido por inversión,"Población estimada del universo analítico: personas de 12 a 17 años en el ámbito, suma de ponderadores del microdato de la propia edición."
